Car Brand,Mileage (km),Year of Make,Price (USD)
Lexus,46723,2017,45697
Audi,17442,2009,15888
Audi,34533,2023,29609
Lexus,146695,2007,44525
Audi,117220,2017,26851
Lexus,123150,2015,42068
Audi,103776,2013,11770
Audi,74447,2010,14349
Audi,30170,2020,32377
Lexus,103771,2012,11709
Lexus,86245,2008,11997
Lexus,69826,2017,34838
Audi,78001,2009,11633
Lexus,87890,2018,25224
Audi,136228,2023,28662
Audi,127621,2018,16157
Lexus,63832,2016,31585
Lexus,23461,2018,18816
Audi,120149,2017,12247
Lexus,118086,2006,31612
Lexus,114809,2012,14812
Audi,73344,2008,40603
Lexus,143534,2016,27280
Audi,18853,2009,41772
Audi,70225,2022,31655
Audi,139328,2014,39070
Lexus,139546,2021,18266
Lexus,68451,2011,22990
Lexus,62265,2017,17879
Audi,114706,2011,20225
Audi,119062,2010,46467
Lexus,48347,2009,11578
Audi,93714,2015,13920
Lexus,116001,2023,33969
Lexus,51673,2006,13890
Lexus,14444,2020,23122
Audi,138380,2014,28015
Audi,53349,2005,25071
Audi,97850,2020,27054
Lexus,33817,2012,18540
Lexus,115939,2023,37850
Lexus,43272,2006,34365
Audi,25247,2012,34264
Audi,23668,2008,14878
Audi,36375,2015,10337
Lexus,75610,2022,25892
Lexus,100042,2009,44004
Lexus,94010,2019,22187
Audi,35573,2014,32607
Lexus,84580,2022,17584
Lexus,130044,2017,34033
Audi,11608,2014,49713
Audi,80369,2005,26916
Audi,66003,2017,43511
Audi,119251,2007,42904
Lexus,97296,2013,20408
Audi,76302,2018,38113
Audi,94826,2018,29278
Audi,64013,2013,41747
Audi,97922,2005,23351
Lexus,95572,2014,19782
Audi,39732,2023,39822
Lexus,54705,2021,33550
Lexus,52777,2006,35973
Audi,68252,2015,25303
Lexus,116801,2007,39912
Audi,84868,2009,32802
Lexus,110573,2015,46357
Lexus,76463,2008,45638
Lexus,98494,2007,11657
Lexus,44140,2013,22668
Lexus,137567,2017,23289
Audi,116241,2017,24742
Lexus,142782,2016,39800
Audi,136453,2013,39806
Lexus,91149,2020,44740
Lexus,137231,2014,11330
Audi,62372,2014,18438
Audi,45446,2015,32775
Audi,114363,2021,48802
Lexus,90378,2009,48319
Lexus,36437,2020,22707
Audi,11222,2016,42145
Lexus,23013,2013,29539
Audi,43946,2021,26778
Lexus,63528,2009,49185
Lexus,127176,2009,25403
Audi,25657,2011,31871
Audi,82018,2008,32189
Audi,79513,2020,17071
Audi,46963,2013,23150
Audi,148206,2008,41306
Lexus,132525,2022,34341
Audi,51848,2005,45897
Audi,64390,2011,18476
Lexus,15430,2020,31417
Audi,107502,2017,29578
Audi,110615,2022,43794
Audi,110614,2006,35555
Lexus,27710,2016,46107
Lexus,24928,2013,37664
Audi,145841,2018,36093
Audi,107434,2021,21738
Lexus,133601,2012,22203
Audi,46376,2014,12347
Audi,82359,2008,18457
Lexus,9614,2014,31922
Lexus,20795,2009,41431
Lexus,75415,2018,12852
Lexus,94154,2015,40373
Lexus,19913,2014,15243
Lexus,30195,2012,33112
Audi,38216,2018,15966
Audi,66692,2020,45451
Audi,117426,2010,34756
Audi,71828,2014,22303
Lexus,100307,2013,23199
Audi,74601,2020,45621
Lexus,74147,2014,10480
Lexus,110942,2007,17227
Audi,52906,2021,44272
Lexus,106143,2014,36610
Lexus,111684,2023,18586
Audi,115107,2010,12289
Audi,102956,2006,24335
Lexus,118343,2016,18649
Audi,55347,2015,38611
Audi,43914,2008,22614
Lexus,110971,2019,40516
Lexus,45357,2009,40706
Audi,7428,2019,10046
Lexus,122807,2012,15916
Lexus,117043,2022,24030
Audi,139980,2022,30153
Lexus,131533,2017,36507
Lexus,118185,2022,27056
Audi,48630,2012,29303
Audi,89808,2020,21352
Lexus,16308,2011,46005
Audi,68259,2020,30518
Audi,68988,2005,22806
Lexus,136104,2021,49092
Audi,56697,2022,27484
Lexus,132441,2007,29493
Audi,7973,2006,15295
Lexus,48587,2023,35686
Audi,21359,2010,41295
Lexus,112462,2010,20900
Lexus,79339,2007,37326
Lexus,37463,2011,46870
Audi,26710,2014,21959
Lexus,118864,2007,42943
Audi,90832,2023,34074
Audi,27491,2008,35853
Lexus,79678,2007,28464
Audi,124776,2009,24623
Lexus,41125,2009,38027
Lexus,129036,2015,11133
Audi,148427,2015,42732
Lexus,65365,2010,42115
Lexus,131083,2022,14602
Audi,149832,2008,34429
Audi,66948,2008,43349
Lexus,134740,2006,42305
Audi,70995,2020,23214
Lexus,49752,2008,17837
Audi,120677,2018,41366
Lexus,6781,2016,10198
Audi,94244,2006,39457
Lexus,60229,2009,19426
Audi,118756,2023,49682
Audi,35151,2008,28021
Audi,21872,2005,19598
Audi,98953,2021,25665
Lexus,84900,2018,40103
Lexus,124515,2010,27713
Lexus,109095,2022,39243
Audi,56636,2007,43526
Audi,28905,2006,37081
Lexus,109105,2015,18183
Lexus,11566,2019,36416
Audi,25077,2006,41932
Lexus,110867,2010,39695
Lexus,99807,2009,49930
Lexus,41641,2019,26442
Audi,75530,2023,36429
Lexus,108425,2018,23722
Lexus,146180,2017,43220
Lexus,59628,2016,24912
Audi,140144,2021,35833
Audi,82116,2012,30068
Lexus,40977,2005,14541
Audi,24360,2017,24292
Lexus,84124,2022,13231
Lexus,29243,2017,34961
Lexus,11335,2010,37819
Audi,145309,2010,34267
Lexus,66422,2008,47233
Lexus,45902,2014,17020
Audi,144732,2009,15568
Lexus,16657,2006,44583
Audi,58988,2015,34656
Audi,83801,2014,30798
Lexus,127221,2011,33260
Lexus,89860,2007,29865
Lexus,76899,2018,25496
Audi,6904,2018,44875
Audi,44388,2015,14074
Audi,40596,2022,34068
Audi,58897,2012,48990
Audi,79875,2017,14930
Lexus,24535,2020,40850
Audi,81759,2009,12057
Audi,58748,2023,23170
Lexus,128085,2006,33189
Lexus,32558,2006,37976
Lexus,32986,2011,30148
Lexus,14432,2005,41596
Audi,144519,2011,36223
Lexus,58364,2006,10374
Lexus,72616,2021,41541
Audi,93644,2015,49404
Audi,67950,2019,32071
Audi,6162,2008,40700
Audi,9448,2016,34262
Audi,130428,2008,48456
Lexus,12902,2015,22205
Lexus,119596,2018,35607
Lexus,57580,2019,40298
